Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Pembroke,51.675012612000046,-4.913740935999954,Aldi,51.69400773231893,-4.927486181259155,Supermarket
Pembroke,51.675012612000046,-4.913740935999954,Co-op Food,51.676131284930996,-4.917545914649963,Grocery Store
Pembroke,51.675012612000046,-4.913740935999954,Asda,51.6953835,-4.9409053,Supermarket
Pembroke,51.675012612000046,-4.913740935999954,McDonald's,51.693809882838565,-4.933207333087921,Fast Food Restaurant
Pembroke,51.675012612000046,-4.913740935999954,Argos,51.69361235657303,-4.932300191060626,Warehouse Store
Pembroke,51.675012612000046,-4.913740935999954,Tesco,51.69396116810247,-4.93495664947021,Supermarket
Pembroke,51.675012612000046,-4.913740935999954,Travelodge,51.696810784124835,-4.93860125541687,Hotel
Ferndale,51.66177190700006,-3.4483835719999547,Co-op Food,51.66181808151048,-3.448391776313424,Grocery Store
Ferndale,51.66177190700006,-3.4483835719999547,Lidl,51.6449549582765,-3.43209555169521,Supermarket
Ferndale,51.66177190700006,-3.4483835719999547,Ystrad Rhondda Railway Station (YSR),51.64366188718035,-3.4670454087462153,Train Station
Ferndale,51.66177190700006,-3.4483835719999547,Spar,51.67410849251899,-3.4847591522599166,Convenience Store
Hirwaun,51.739228265000065,-3.4985819549999633,Co-op Food,51.737986559185735,-3.508741881583778,Grocery Store
Hirwaun,51.739228265000065,-3.4985819549999633,What!,51.730038804718674,-3.483703680888171,Furniture / Home Store
Hirwaun,51.739228265000065,-3.4985819549999633,Ty Newydd Country Hotel Hirwaun,51.750835,-3.528174,Hotel
Hirwaun,51.739228265000065,-3.4985819549999633,TLC Photography,51.7212001,-3.4729388,Photography Lab
Hirwaun,51.739228265000065,-3.4985819549999633,Caradog's Restaurant,51.75992,-3.5221799999999917,Modern European Restaurant
Brynna,51.538626382000075,-3.46357790299993,The Old Mill (Harvester),51.52212124445067,-3.483588393900303,English Restaurant
Brynna,51.538626382000075,-3.46357790299993,Co-op Food,51.52439043246748,-3.5000974343257423,Grocery Store
Brynna,51.538626382000075,-3.46357790299993,Llanharan Railway Station (LLR),51.537559873265614,-3.442121307627523,Train Station
Brynna,51.538626382000075,-3.46357790299993,Crumbs,51.52495812285476,-3.4973675590049167,Sandwich Place
Brynna,51.538626382000075,-3.46357790299993,St Mary's Hotel Golf & Country Club,51.51335843541316,-3.471721439962765,Golf Course
Abertridwr,51.59612998800003,-3.2713554269999463,Home Bargains,51.57804604216159,-3.290504496820571,Discount Store
Abertridwr,51.59612998800003,-3.2713554269999463,The Upper Boat Inn,51.57575566722122,-3.2926639880179245,Restaurant
Abertridwr,51.59612998800003,-3.2713554269999463,Dunelm,51.57681599791509,-3.2930039533729314,Lighting Store
Abertridwr,51.59612998800003,-3.2713554269999463,Tesco Express,51.58511626171536,-3.242143108975592,Grocery Store
Abertridwr,51.59612998800003,-3.2713554269999463,Llanbradach Railway Station (LNB),51.60337367229547,-3.23307910075141,Train Station
Abertridwr,51.59612998800003,-3.2713554269999463,Greggs,51.574368,-3.292604,Bakery
Abertridwr,51.59612998800003,-3.2713554269999463,The Sports Park. Treforest,51.57139978727787,-3.284922286586919,Playground
Radyr,51.51483418000004,-3.251305092999928,Starbucks,51.52527,-3.245214,Coffee Shop
Radyr,51.51483418000004,-3.251305092999928,Coffee #1,51.512564123389595,-3.219447109058569,Coffee Shop
Radyr,51.51483418000004,-3.251305092999928,Castell Coch,51.535867674907024,-3.254695765809086,Castle
Radyr,51.51483418000004,-3.251305092999928,Juboraj,51.52262277179812,-3.212326483255491,Indian Restaurant
Radyr,51.51483418000004,-3.251305092999928,Lewis Arms,51.5322,-3.251706,Pub
Radyr,51.51483418000004,-3.251305092999928,Co-op Food,51.5041790262028,-3.2401105117479556,Grocery Store
Radyr,51.51483418000004,-3.251305092999928,Snails Deli,51.52229775293739,-3.2112902594347656,Deli / Bodega
Radyr,51.51483418000004,-3.251305092999928,Village Gym Cardiff,51.52455049127307,-3.2393232140671797,Gym
Radyr,51.51483418000004,-3.251305092999928,The Plough,51.51317564826231,-3.2198397725422963,Pub
Radyr,51.51483418000004,-3.251305092999928,The Hollybush,51.521601822183364,-3.2337142246003023,Pub
Radyr,51.51483418000004,-3.251305092999928,Pugh's Garden Village,51.5295183372046,-3.2582402229309078,Garden Center
Radyr,51.51483418000004,-3.251305092999928,Fairwater Leisure Centre,51.49900590310055,-3.2484377700128335,Gym / Fitness Center
Radyr,51.51483418000004,-3.251305092999928,Lidl,51.50338063,-3.22752134,Supermarket
Radyr,51.51483418000004,-3.251305092999928,Tynant Inn,51.52976476128917,-3.258972653139351,Pub
Radyr,51.51483418000004,-3.251305092999928,The Deri Inn,51.52813907600591,-3.2182526094957824,Pub
Radyr,51.51483418000004,-3.251305092999928,Domino's Pizza,51.49891575890731,-3.234933301978799,Pizza Place
Radyr,51.51483418000004,-3.251305092999928,Co-op Food,51.50638075914434,-3.2284166355298094,Grocery Store
Radyr,51.51483418000004,-3.251305092999928,Co-op Food,51.48940574433521,-3.2412458871198746,Grocery Store
Radyr,51.51483418000004,-3.251305092999928,Fintans Fish & Chip Co.,51.51250191651681,-3.2192227693598023,Fish & Chips Shop
Radyr,51.51483418000004,-3.251305092999928,Fox & Hounds (Whitchurch),51.51594093143874,-3.218281887474117,Pub
Radyr,51.51483418000004,-3.251305092999928,Iceland,51.51220099979493,-3.2189383276506813,Grocery Store
Radyr,51.51483418000004,-3.251305092999928,Fino Lounge,51.51228319084443,-3.2187389625175764,Coffee Shop
Radyr,51.51483418000004,-3.251305092999928,Co-op Food,51.51214805965077,-3.2191937889549282,Grocery Store
Radyr,51.51483418000004,-3.251305092999928,Subway,51.51227559355956,-3.2185135791743207,Sandwich Place
Radyr,51.51483418000004,-3.251305092999928,Asda,51.5241941,-3.2424563,Supermarket
Radyr,51.51483418000004,-3.251305092999928,Boots,51.51286400507573,-3.2196143726023707,Pharmacy
Radyr,51.51483418000004,-3.251305092999928,Starbucks,51.524518,-3.239386,Coffee Shop
Radyr,51.51483418000004,-3.251305092999928,The Village Hotel,51.52453553287533,-3.2395141081199057,Hotel
Radyr,51.51483418000004,-3.251305092999928,Tesco Express,51.51602912729689,-3.224229145876052,Grocery Store
Radyr,51.51483418000004,-3.251305092999928,Glamorganshire Local Nature Reserve,51.524667766581295,-3.2518055544266278,Nature Preserve
Radyr,51.51483418000004,-3.251305092999928,Holiday Inn Cardiff - North M4 J32,51.52894119330812,-3.2416685597390824,Hotel
Radyr,51.51483418000004,-3.251305092999928,McDonald's,51.52409,-3.243994,Fast Food Restaurant
Radyr,51.51483418000004,-3.251305092999928,Verve Grill,51.52460031338063,-3.239697605291011,Steakhouse
Radyr,51.51483418000004,-3.251305092999928,Radyr Court,51.50416242767165,-3.2404004237492128,Pedestrian Plaza
Radyr,51.51483418000004,-3.251305092999928,Watering Can Coffee Shop,51.529234668762,-3.258465528488159,Coffee Shop
Radyr,51.51483418000004,-3.251305092999928,Tŷ Nant Farm Shop,51.53002960316869,-3.2573999820700648,Farmers Market
Radyr,51.51483418000004,-3.251305092999928,Mountain Warehouse,51.53081950304359,-3.258097727488166,Outdoor Supply Store
Radyr,51.51483418000004,-3.251305092999928,Ozzy's,51.515826011753994,-3.224149049196262,Sandwich Place
Radyr,51.51483418000004,-3.251305092999928,Delta Force Paintball Cardiff,51.51751594908683,-3.2804059982299805,Paintball Field
Radyr,51.51483418000004,-3.251305092999928,Castell Coch Golf club,51.53461893929391,-3.2507984604695404,Golf Course
Radyr,51.51483418000004,-3.251305092999928,sizzle_-SPARKLES.CO.UK,51.5351475,-3.2472924999999577,Furniture / Home Store
Radyr,51.51483418000004,-3.251305092999928,Insole Court,51.49544108407294,-3.235910024572833,Garden
Radyr,51.51483418000004,-3.251305092999928,Fairwater Railway Station (FRW),51.49395080965186,-3.2338296691214867,Train Station
Radyr,51.51483418000004,-3.251305092999928,Rhiwbina Railway Station (RHI),51.52113137579655,-3.2141287089418897,Train Station
Radyr,51.51483418000004,-3.251305092999928,Fairwater Green,51.48988263731302,-3.24057821632397,Outdoors & Recreation
Radyr,51.51483418000004,-3.251305092999928,The Fairwater Pub,51.48940755086695,-3.240679059756427,Pub
Rhoose,51.38835783700006,-3.354132833999927,Blue Anchor Inn,51.39094024075091,-3.388430369446749,Pub
Rhoose,51.38835783700006,-3.354132833999927,The Six Bells Village Pub & Restaurant,51.41049026935348,-3.3561896893224397,Gastropub
Rhoose,51.38835783700006,-3.354132833999927,Costa Coffee,51.398518,-3.3387098,Coffee Shop
Rhoose,51.38835783700006,-3.354132833999927,Executive Lounge,51.39887587833155,-3.3385782930458427,Airport Lounge
Rhoose,51.38835783700006,-3.354132833999927,Tesco Express,51.388343,-3.3573709533729925,Grocery Store
Rhoose,51.38835783700006,-3.354132833999927,Rhoose Pharmacy,51.3882779367591,-3.353773733175751,Pharmacy
Rhoose,51.38835783700006,-3.354132833999927,Holiday Inn Express Cardiff Airport,51.3979813744158,-3.3336695730849897,Hotel
Rhoose,51.38835783700006,-3.354132833999927,Cardiff Airport Bus Stop,51.39904323868321,-3.3377860627267024,Bus Stop
Rhoose,51.38835783700006,-3.354132833999927,Porthkerry Park,51.39379458060205,-3.314153804194991,Park
Rhoose,51.38835783700006,-3.354132833999927,Celtic International Hotel,51.402151,-3.326007,Hotel
Abercynon,51.64611492600005,-3.328501439999968,Co-op Food,51.64719107817519,-3.2906399370075357,Grocery Store
Abercynon,51.64611492600005,-3.328501439999968,Llechwen Hall Hotel,51.64106098386809,-3.3084115953207522,Hotel
Abercynon,51.64611492600005,-3.328501439999968,Carne Park Hotel,51.64059036126707,-3.3332684978783234,Pub
Abercynon,51.64611492600005,-3.328501439999968,The Albion Cafe,51.62363822367816,-3.317834237359845,Café
Abercynon,51.64611492600005,-3.328501439999968,Tien Tien,51.66510057190496,-3.30313532574978,Chinese Restaurant
Broughton,53.16321653400007,-2.9915680879999513,Broughton Shopping Park,53.169114,-2.972578,Shopping Plaza
Broughton,53.16321653400007,-2.9915680879999513,Hawarden Estate Farm Shop,53.18013451990035,-3.011782820758903,Farm
Broughton,53.16321653400007,-2.9915680879999513,Cineworld,53.167605063924576,-2.974724113645136,Movie Theater
Broughton,53.16321653400007,-2.9915680879999513,Co-op Food,53.16286502656152,-2.99637238108947,Grocery Store
Broughton,53.16321653400007,-2.9915680879999513,Hawarden Airport (CEG) (Hawarden Airport),53.1856860540563,-2.97564879979548,Airport
Broughton,53.16321653400007,-2.9915680879999513,Next,53.16746093,-2.97269218,Clothing Store
Broughton,53.16321653400007,-2.9915680879999513,Primark,53.1690047,-2.9730758,Clothing Store
Broughton,53.16321653400007,-2.9915680879999513,The Royal Oak Inn,53.14748256482513,-3.0003601312828323,Pub
Broughton,53.16321653400007,-2.9915680879999513,PizzaExpress,53.1673182,-2.9744213,Pizza Place
Broughton,53.16321653400007,-2.9915680879999513,M&S Foodhall,53.16907829,-2.97233798,Grocery Store
Broughton,53.16321653400007,-2.9915680879999513,Prezzo,53.167444,-2.974967,Italian Restaurant
Broughton,53.16321653400007,-2.9915680879999513,Chiquito,53.167491,-2.9743975,Mexican Restaurant
Broughton,53.16321653400007,-2.9915680879999513,Tesco Extra,53.16886406148328,-2.9740103615599804,Supermarket
Broughton,53.16321653400007,-2.9915680879999513,Starbucks,53.167408,-2.974764,Coffee Shop
Broughton,53.16321653400007,-2.9915680879999513,New Look,53.1675589,-2.9724053,Clothing Store
Broughton,53.16321653400007,-2.9915680879999513,Offas Dyke,53.16474763555227,-2.986986149140896,Pub
Broughton,53.16321653400007,-2.9915680879999513,Asda,53.1676374,-2.9733279,Supermarket
Broughton,53.16321653400007,-2.9915680879999513,Costa Coffee,53.168829694098875,-2.971088314735602,Coffee Shop
Broughton,53.16321653400007,-2.9915680879999513,Boots,53.1684287558352,-2.970763583501707,Pharmacy
Broughton,53.16321653400007,-2.9915680879999513,McDonald's,53.168867,-2.976638,Fast Food Restaurant
Broughton,53.16321653400007,-2.9915680879999513,Broughton & Bretton Community Park,53.16730531515196,-2.9833996295928955,Playground
Broughton,53.16321653400007,-2.9915680879999513,Mill House,53.16944417105687,-2.976088597281588,Pub
Broughton,53.16321653400007,-2.9915680879999513,Airbus UK FC,53.17180176872677,-2.9816840744635282,Soccer Field
Broughton,53.16321653400007,-2.9915680879999513,Frankie & Benny's,53.1674537,-2.9749341,American Restaurant
Broughton,53.16321653400007,-2.9915680879999513,Nando's,53.1674486,-2.9742261,Portuguese Restaurant
Broughton,53.16321653400007,-2.9915680879999513,River Island,53.16795269073209,-2.972336958304953,Clothing Store
Broughton,53.16321653400007,-2.9915680879999513,WHSmith,53.16899624,-2.97137997,Bookstore
Broughton,53.16321653400007,-2.9915680879999513,O2 Shop Chester - Broughton Shopping Pk,53.16770408038382,-2.9715442657470703,Mobile Phone Shop
Broughton,53.16321653400007,-2.9915680879999513,Hawarden Estate Farm Shop,53.168599,-2.971224,Deli / Bodega
Broughton,53.16321653400007,-2.9915680879999513,England/Wales Border (A55),53.16198230544818,-2.962883794164947,Border Crossing
Broughton,53.16321653400007,-2.9915680879999513,Hawarden Airport,53.18328138386285,-2.9786861359005616,Airport
Broughton,53.16321653400007,-2.9915680879999513,Chocks Away Diner,53.18624,-2.973229,Diner
Welshpool,52.660648663000075,-3.1497093119999704,Powis Castle,52.650001064190874,-3.1610185152454147,Castle
Welshpool,52.660648663000075,-3.1497093119999704,Coed y Dinas,52.64231751414158,-3.148146538616849,Pet Store
Welshpool,52.660648663000075,-3.1497093119999704,Royal Oak Hotel,52.65958082201382,-3.1470452415968193,Hotel
Welshpool,52.660648663000075,-3.1497093119999704,B&M Store,52.65953603,-3.14230536,Discount Store
Welshpool,52.660648663000075,-3.1497093119999704,Morrisons Welshpool,52.65763371935641,-3.146808637397005,Supermarket
Welshpool,52.660648663000075,-3.1497093119999704,Costa Coffee,52.6604,-3.1480632,Coffee Shop
Welshpool,52.660648663000075,-3.1497093119999704,Boots,52.65991193712366,-3.1477071006226485,Pharmacy
Welshpool,52.660648663000075,-3.1497093119999704,The Smithfield Bell,52.659981082216156,-3.1408286588955434,Pub
Welshpool,52.660648663000075,-3.1497093119999704,Sainsbury's,52.661263131464295,-3.150165406604226,Supermarket
Welshpool,52.660648663000075,-3.1497093119999704,Andrews Fish Bar,52.660749849922546,-3.150719991679574,Restaurant
Welshpool,52.660648663000075,-3.1497093119999704,Silver Fish Work,52.65906837825329,-3.1476307462911444,Fish & Chips Shop
Welshpool,52.660648663000075,-3.1497093119999704,Welshpool Canal Wharf,52.65970197069538,-3.144010693412107,Harbor / Marina
Welshpool,52.660648663000075,-3.1497093119999704,Montgomery Canal,52.65842440445657,-3.144407272338867,Canal
Welshpool,52.660648663000075,-3.1497093119999704,Welshpool Railway Station (WLP),52.65759004694747,-3.14013044292228,Train Station
Welshpool,52.660648663000075,-3.1497093119999704,The Flash Leisure Centre,52.66502561218318,-3.135224967233722,Gym / Fitness Center
Welshpool,52.660648663000075,-3.1497093119999704,Charlie's,52.6429686245515,-3.149958531622343,Department Store
Welshpool,52.660648663000075,-3.1497093119999704,Tuffins Supermarket,52.6713952,-3.1230731,Convenience Store
Undy,51.57526000000007,-2.814529999999934,The Wheatsheaf Inn,51.58052202225964,-2.8304584373363784,Pub
Undy,51.57526000000007,-2.814529999999934,Hampton by Hilton,51.58669274516484,-2.8411634099449263,Hotel
Undy,51.57526000000007,-2.814529999999934,Sawyers Bar and Grill,51.58671057922074,-2.8419190140964656,American Restaurant
Undy,51.57526000000007,-2.814529999999934,Magor Square,51.579723177155174,-2.831132050730105,Plaza
Undy,51.57526000000007,-2.814529999999934,The Golden Lion,51.579869638295406,-2.831279125169687,Pub
Undy,51.57526000000007,-2.814529999999934,Undy Athletics Football Club,51.578086006961065,-2.8151339834848965,Soccer Field
Undy,51.57526000000007,-2.814529999999934,Magor Marsh,51.57545774075796,-2.829942300083552,Nature Preserve
Undy,51.57526000000007,-2.814529999999934,WHSmith,51.58838663,-2.83637634,Stationery Store
Undy,51.57526000000007,-2.814529999999934,Kensington Park,51.57986559270286,-2.838217110572031,Park
Undy,51.57526000000007,-2.814529999999934,Second Severn Crossing Tolls,51.58093588697471,-2.7837292554809063,Toll Booth
Undy,51.57526000000007,-2.814529999999934,Caldicot Kitchen & Bathroom Centre,51.58517656362389,-2.781364917755127,Furniture / Home Store
Undy,51.57526000000007,-2.814529999999934,Platform 1,51.58429962107552,-2.777163262265862,Platform
Undy,51.57526000000007,-2.814529999999934,River Severn,51.581119267160126,-2.773142645589016,River
Undy,51.57526000000007,-2.814529999999934,Severn Tunnel Junction Railway Station (STJ),51.58435912437751,-2.77713147772409,Train Station
Coedpoeth,53.05258932600003,-3.068843155999957,Co-op Food,53.055344821224224,-3.074496027925868,Grocery Store
Coedpoeth,53.05258932600003,-3.068843155999957,Coedpoeth,53.05281217037266,-3.071932798830055,Vineyard
Coedpoeth,53.05258932600003,-3.068843155999957,Brymbo Sports & Social Complex,53.06378888192486,-3.0471740846558077,Athletics & Sports
Coedpoeth,53.05258932600003,-3.068843155999957,Hong Kong House,53.059855548517476,-3.0304415235126685,Chinese Restaurant
Coedpoeth,53.05258932600003,-3.068843155999957,Moss Valley,53.05988797751335,-3.0304190579286883,Park
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Eastern Star,51.79168776968659,-3.8830339908599854,Indian Restaurant
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,The Queen of Hearts,51.78357947690317,-3.879018723964691,Pub
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Ty Cerrig,51.78331,-3.878834,Vacation Rental
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Raven Garage,51.80118955696719,-3.9037419855594635,Auto Workshop
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Nadyl,51.805767,-3.897925,Gym / Fitness Center
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Brynamman Public Hall Cinema,51.81047210338052,-3.8689470291137695,Indie Movie Theater
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,South & West Chimney Lining Ltd,51.8108812,-3.868398,Home Service
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,The Half Moon Inn,51.80387650092931,-3.9129915833473206,Bar
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Y Ffynnon Ltd,51.8123018,-3.8637416,Paper / Office Supplies Store
Gwaun-Cae-Gurwen/Brynamman,51.790659375000075,-3.8821370989999764,Yummies,51.813524129330666,-3.8660824298858643,Pizza Place
Blaenavon,51.775768880000044,-3.0837773889999767,Big Pit National Coal Museum,51.77258233849421,-3.1049766115053026,History Museum
Blaenavon,51.775768880000044,-3.0837773889999767,Blaenavon,51.77419019121425,-3.084100851415416,Neighborhood
Blaenavon,51.775768880000044,-3.0837773889999767,Keepers Pond,51.79035761431788,-3.08183468877214,Scenic Lookout
Blaenavon,51.775768880000044,-3.0837773889999767,Blaenavon Ironworks,51.776180839018345,-3.0896134338030934,History Museum
Blaenavon,51.775768880000044,-3.0837773889999767,"Blaenavon, Oakfield B&B",51.769513018818216,-3.08441162109375,Bed & Breakfast
